run_ts,pp_total,pp_matched,pp_rate,ud_total,ud_matched,ud_rate,ud_fallback_attempts,ud_fallback_hits,ud_fallback_rate
20260313-170930,645,545,84.5,823,351,42.6,497,25,5
20260313-214206,645,545,84.5,785,399,50.8,208,13,6.2
20260314-073907,645,545,84.5,465,220,47.3,221,21,9.5
20260314-184102,2198,724,32.9,421,165,39.2,261,5,1.9
20260315-080827,3402,1285,37.8,449,262,58.4,204,17,8.3
20260315-112409,3402,1285,37.8,449,262,58.4,423,15,3.5
20260315-200530,1069,413,38.6,182,96,52.7,153,13,8.5
20260316-081313,3689,1904,51.6,334,170,50.9,166,2,1.2
20260316-092854,3704,1898,51.2,470,176,37.4,296,2,0.7
20260316-181921,4716,2492,52.8,644,268,41.6,376,0,0
20260316-210147,1873,1099,58.7,279,107,38.4,173,1,0.6
20260316-211836,1757,985,56.1,331,107,32.3,225,1,0.4
